Sample_ID	Protocol	Abort	Rerun	Sample_Project	Sample_group	Name	Model	Species	Reference	Seq_Plus	Tissue	Tumor_Type	CvsN	Index_Type	Index_well	index	Prep_Date	Submit_Date	Platform	Fraction	cells_targeted	PI	Description	link_folder	tar_folder	subset_nCount_RNA_min	subset_nCount_RNA_max	subset_nFeature_RNA_min	subset_nFeature_RNA_max	subset_percent.mt_max	subset_nCount_ATAC_min	subset_nCount_ATAC_max	subset_frip_min	subset_tss_enrich_min	subset_nucleosome_signal_max	subset_mt_atac_max
S0066	3GEX	N	N	R0027		B6 ctrl lung Epcam postive:negative 1:1	Black 6	mouse	10x-mouse		lung		SC	SI-GA-	F9	SI-GA-F9	6/12/2020	6/26/2020	NS_S2	0.14	13860	R. Roberts	Black 6 mice were injected with F420-RFP													
S0067	3GEX	N	N	R0027		"B6, F420 injected, lungs from ROB 273 A, B, D; Epcam postive:negative 1:1"	F420	mouse	10x-mouse		lung	OS	SC	SI-GA-	G9	SI-GA-G9	6/12/2020	6/26/2020	NS_S2	0.14	8000	R. Roberts	Black 6 mice were injected with F420-RFP													
S0068	3GEX	N	N	R0027		"B6, F420 injected, lungs from ROB 273E and ROB 274A; Epcam postive:negative 1:1"	F420	mouse	10x-mouse		lung	OS	SC	SI-GA-	H9	SI-GA-H9	6/12/2020	6/26/2020	NS_S2	0.14	8000	R. Roberts	Black 6 mice were injected with F420-RFP													
S0074	3GEX	N	N	R0027		Balb/c ctrl lung Epcam postive:negative 1:1	BALB/c	mouse	10x-mouse		lung		SC	SI-GA-	F10	SI-GA-F10	6/23/2020	6/26/2020	NS_S2	0.14	8000	R. Roberts	Balb/c mice were injected with K7M2-RFP													
S0075	3GEX	N	N	R0027		"Balb/c, K7M2 injected, lungs; Epcam postive:negative 1:1"	K7M2	mouse	10x-mouse		lung	OS	SC	SI-GA-	G10	SI-GA-G10	6/23/2020	6/26/2020	NS_S2	0.14	8000	R. Roberts	Balb/c mice were injected with K7M2-RFP													
S0105	3GEX	N	N	R0038		K7M2-RFP tibia tumor	K7M2	mouse	10x-mouse		tibia	OS	SC	SI-GA-	E2	SI-GA-E2	4/15/2021	5/13/2021	NS_S2	0.07	8000	R. Roberts	mice were tail vein injected with K7M2-RFP cell		210603_A01088_0205_BHCJCWDRXY_Roberts											
S0122	3GEX	N	N	R0039	18	"K7M2 sLPmCherry lung mets 10 days post injection. Flow sorted Cherry positive fraction 1:1:1 mix of CD45+, Epcam+ and double negative"	K7M2	mouse	10x-mouse		lung	OS	SC	SI-GA-	F4	SI-GA-F4	5/14/2021	6/3/2021	NS_S1	0.17	1800	R. Roberts	"Cherry positive fraction 1:1:1 mix of CD45+, Epcam+ and double negative"		210609_A00498_0310_BHFVYYDRXY_Roberts											
S0190	3GEX	N	N	R0053	16	Cripe - K7M2 PBS treated	K7M2	mouse	10x-mouse		flank	OS	SC	SI-GA-	A9	SI-GA-A9	5/26/2022	6/6/2022	NS_SP	0.25	8000	R. Roberts/ T. Cripe	S0190: PBS		220608_A00498_0459_AHCNJCDRX2_Roberts											
S0200	3GEX	N	N	R0055		F420 cellculture p17	F420	mouse	10x-mouse		cell culture	OS	SC	SI-GA-	G10	SI-GA-G10	6/27/2022	8/16/2022	NS_S2	0.09	8000	R. Roberts	F420 p17 grown in cell culture and then accutased		220818_A01461_0217_AHFMC2DMXY_Roberts											
S0201	3GEX	N	N	R0055		K7M2 cellculture p17	K7M2	mouse	10x-mouse		cell culture	OS	SC	SI-GA-	H10	SI-GA-H10	6/27/2022	8/16/2022	NS_S2	0.09	8000	R. Roberts	K7M2 p17 grown in cell culture and then accutased		220818_A01461_0217_AHFMC2DMXY_Roberts											
S0238	3GEX	N	N	R0059		K7M2; PBS	K7M2	mouse	10x-mouse		flank	OS	SC	SI-TT-	D6	SI-TT-D6	3/27/2023	4/4/2023	NS_S2	0.0625	8000	R. Roberts/ T. Cripe	K7M2 flank tumor in Balb/c; PBS treated		230405_A01088_0524_AHHFTYDMXY_Roberts											
S0246	3GEX	N	N	R0062		F420 lung mets and niche cells ctrl 	F420	mouse	10x-mouse		lung	OS	SC	SI-TT-	D7	SI-TT-D7	6/13/2023	6/20/2023	NS_SP	0.25	8000	R. Roberts	"control (ROB463B, DOB 12-23-22; ROB463D, DOB8-25-22)"		230626_A01461_0380_BHWWFMDRX2_Roberts											
S0259	3GEX	N	N	R0064		"F420, barcoded, preinjection t0 ctrl"	F420	mouse	10x-mouse		cell culture	OS	SC	SI-TT-	A9	SI-TT-A9	8/29/2023	9/11/2023	NS_S1	0.125	8000	R. Roberts	t0= F420 barcoded cells from the same suspension that got tailvein injected into mice	230912_Roberts_GSL-AG-3552_3553	230914_A01088_0627_AHKJKNDRX2_Roberts											
S0269	3GEX	N	N	R0065		Study 195 ctrl	F420	mouse					SC	SI-TT-	C10	SI-TT-C10	12/12/2023				8000	R. Roberts		232212_Roberts_GSL-AG-3713_3714	231226_A01877_0282_BHHVV2DMXY_Roberts											
S0282	3GEX	N	N	R0066		F420 Control (from F420 FLUC + nintendanib study)	F420	mouse	10x-mouse		lung	OS	SC	SI-TT-	H11	SI-TT-H11	2/26/2024	2/26/2024			8000	R. Roberts	these snap frozen tissue are being given to Adithe in for nuclei preparation and running for 3GEX (ROB548A)	240223_Roberts_GSL-AG-3773_3774	240304_A01461_0517_AHTNFWDRX2_Roberts											
S0291	3GEX	N				"F420 control (from F420 + nintendanib and anakinra study, ROB561A)"	F420	mouse			lung	OS	SN				3/13/2024	3/12/2024	NS_S1		8000	R. Roberts	these snap frozen tissue are being given to Adithe in for nuclei preparation and running for 3GEX													
X00001	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC2	clinical OSA	human	10x-hg38			OS									8000					1000	15000			25						
X00002	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC3	clinical OSA	human	10x-hg38			OS									8000					1000	35000			25						
X00003	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC5	clinical OSA	human	10x-hg38			OS									8000					1000	22000			25						
X00004	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC6	clinical OSA	human	10x-hg38			OS									8000					1000	40000			25						
X00005	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC10	clinical OSA	human	10x-hg38			OS									8000					1000	35000			25						
X00006	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC11	clinical OSA	human	10x-hg38			OS									8000					1000	50000			25						
X00007	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC16	clinical OSA	human	10x-hg38			OS									8000					1000	80000			25						
X00008	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC17	clinical OSA	human	10x-hg38			OS									8000					1000	60000			25						
X00009	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC21	clinical OSA	human	10x-hg38			OS									8000					1000	80000			25						
X00010	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC20	clinical OSA	human	10x-hg38			OS									8000					1000	100000			25						
X00011	3GEX	N	N	GSE152048		GSE152048: Osteosarcoma BC22	clinical OSA	human	10x-hg38			OS									8000					1000	80000			25						
X00012	3GEX	N	N	GSE162454		GSE162454: Osteosarcoma GSM4952363: Patient 1	clinical OSA	human	10x-hg38			OS									8000					1000	120000			25						
